Punto di prelievo (abbr),Punto di prelievo,Data prelievo,Comune,Contaminante,Concentrazione (mg/Kg),Soglia di legge (mg/Kg),Concentrazione in eccesso (mg/Kg),Indice superamento,ID
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Zinco,4675,150,4525,31.17,P2 - Zinco
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Zinco,3548,150,3398,23.65,PO3 - Zinco
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Zinco,2894,150,2744,19.29,P13 - Zinco
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Cadmio,28.4,2,26.4,14.2,PO3 - Cadmio
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Cadmio,26.5,2,24.5,13.25,P13 - Cadmio
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Piombo,1324,100,1224,13.24,P2 - Piombo
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Cadmio,25.5,2,23.5,12.75,P2 - Cadmio
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Piombo,1031,100,931,10.31,PO3 - Piombo
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Piombo,937,100,837,9.37,P13 - Piombo
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Zinco,1083,150,933,7.22,G4 - Zinco
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Zinco,1061,150,911,7.07,SG1 - Zinco
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Cadmio,11.4,2,9.4,5.7,SG1 - Cadmio
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Cadmio,10.9,2,8.9,5.45,P8 - Cadmio
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Cadmio,10.4,2,8.4,5.2,G3 - Cadmio
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Cadmio,10,2,8,5,P3 - Cadmio
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Cadmio,9.4,2,7.4,4.7,P5 - Cadmio
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Zinco,665,150,515,4.43,P1 - Zinco
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Zinco,549,150,399,3.66,P8 - Zinco
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Cadmio,6.9,2,4.9,3.45,P1 - Cadmio
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Zinco,509,150,359,3.39,P3 - Zinco
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Piombo,311,100,211,3.11,SG1 - Piombo
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Cadmio,5,2,3,2.5,G4 - Cadmio
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Cadmio,4.5,2,2.5,2.25,C3 - Cadmio
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Mercurio,2.2,1,1.2,2.2,PO3 - Mercurio
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Arsenico,40.7,20,20.7,2.04,P2 - Arsenico
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Mercurio,2,1,1,2,P13 - Mercurio
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Piombo,195,100,95,1.95,P8 - Piombo
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Piombo,184,100,84,1.84,P3 - Piombo
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Piombo,159,100,59,1.59,P1 - Piombo
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Piombo,146,100,46,1.46,G3 - Piombo
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Rame,166,120,46,1.38,P2 - Rame
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Zinco,202,150,52,1.35,G3 - Zinco
P2,PORTOSCUSO PERDAIAS P2,21/12/2022,Portoscuso,Mercurio,1.1,1,0.1,1.1,P2 - Mercurio
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Arsenico,9.6,20,,0,PO3 - Arsenico
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Arsenico,17.6,20,,0,P13 - Arsenico
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Arsenico,10.7,20,,0,P8 - Arsenico
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Arsenico,11.4,20,,0,P3 - Arsenico
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Arsenico,9.6,20,,0,P1 - Arsenico
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Arsenico,1.06,20,,0,P5 - Arsenico
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Arsenico,16.5,20,,0,SG1 - Arsenico
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Arsenico,2.7,20,,0,C3 - Arsenico
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Arsenico,1.1,20,,0,G3 - Arsenico
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Arsenico,7.8,20,,0,G4 - Arsenico
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Mercurio,0.35,1,,0,P8 - Mercurio
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Mercurio,0.26,1,,0,P3 - Mercurio
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Mercurio,0.35,1,,0,P1 - Mercurio
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Mercurio,<0.25,1,,0,P5 - Mercurio
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Mercurio,<0.25,1,,0,SG1 - Mercurio
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Mercurio,<0.25,1,,0,C3 - Mercurio
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Mercurio,<0.25,1,,0,G3 - Mercurio
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Mercurio,<0.25,1,,0,G4 - Mercurio
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Piombo,14.1,100,,0,P5 - Piombo
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Piombo,49.7,100,,0,C3 - Piombo
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Piombo,87.6,100,,0,G4 - Piombo
PO3,PORTOSCUSO PALAZZO GARDENIA PO3,21/12/2022,Portoscuso,Rame,57.1,120,,0,PO3 - Rame
P13,PORTOSCUSO CASE FIGUS P13,20/12/2022,Portoscuso,Rame,66.9,120,,0,P13 - Rame
P8,PORTOSCUSO CONCALI ARRUBIU P8,20/12/2022,Portoscuso,Rame,20,120,,0,P8 - Rame
P3,PORTOSCUSO PARINGIANU P3,19/12/2022,Portoscuso,Rame,18.7,120,,0,P3 - Rame
P1,PORTOSCUSO GERERUXI P1,21/12/2022,Portoscuso,Rame,14.3,120,,0,P1 - Rame
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Rame,11.5,120,,0,P5 - Rame
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS SG1,19/12/2022,San Giovanni Suergiu,Rame,83.2,120,,0,SG1 - Rame
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Rame,11.1,120,,0,C3 - Rame
G3,GONNESA NURAGHE SERUCI G3,22/12/2022,Gonnesa,Rame,17.4,120,,0,G3 - Rame
G4,GONNESA NURAXI FIGUS G4,22/12/2022,Gonnesa,Rame,10.1,120,,0,G4 - Rame
P5,PORTOSCUSO SA PIRAMIDE P5,21/12/2022,Portoscuso,Zinco,52,150,,0,P5 - Zinco
C3,CARBONIA CORTOGHIANA C3,19/12/2022,Carbonia,Zinco,106,150,,0,C3 - Zinco
