Nome punto,Latitudine,Longitudine
Alcoa PZ 13,39.203551,8.408291
Alcoa PZ 11,39.200006,8.40751
Alcoa PZ 4,39.202061,8.405813
Eurallumina PZN16,39.210864,8.402172
Eurallumina PZN 26,39.206215,8.399572
Eurallumina PZN 06,39.205804,8.395995
Portovesme srl PZ P12,39.211932,8.40317
Enel Grazia Deledda PO 2,39.20919,8.402499
Enel Grazia Deledda S 97,39.194331,8.402532
Enel Grazia Deledda S 148,39.203117,8.399157
Enel Grazia Deledda S 60,39.197837,8.399063
Portovesme srl PZ51,39.206531,8.406407
Enel Grazia Deledda S 124,39.19126,8.400995