Punto di prelievo,Punto di prelievo,Latitudine,Longitudine
P2,PORTOSCUSO PERDAIAS,39.2075,8.419722222
PO3,PORTOSCUSO PALAZZO GARDENIA,39.20472222,8.381944444
P13,PORTOSCUSO CASE FIGUS,39.19736111,8.414694444
P8,PORTOSCUSO CONCALI ARRUBIU,39.18447222,8.427888889
P3,PORTOSCUSO PARINGIANU,39.17211111,8.428027778
P1,PORTOSCUSO GERERUXI,39.22555556,8.397777778
P5,PORTOSCUSO SA PIRAMIDE,39.21688889,8.412222222
SG1,SAN GIOVANNI SUERGIIU IS BINGIAS,39.14202778,8.458166667
C3,CARBONIA CORTOGHIANA,39.21,8.463611111
G3,GONNESA NURAGHE SERUCI,39.24833333,8.424722222
G4,GONNESA NURAXI FIGUS,39.22055556,8.435277778